39717,"7790093521768","vino cafayate torrontes x 750 cm3","750","cm3",0.00
39719,"7798108839501","champagne callia dulce x 750 cm3","750","cm3",0.00
39721,"7798108833547","vino callia alta syrah cabernet x 750 cm3","750","cm3",0.00
39723,"7798108833486","vino callia alta syrah malbec x 750 cm3","750","cm3",0.00
39725,"7798108833462","vino callia malbec 2021 x 750 cm3","750","cm3",0.00
39727,"7798108830201","vino callia alta syrah x 750 cm3","750","cm3",0.00
39729,"7798108830188","vino callia alta dulce natural x 750 cm3","750","cm3",0.00
39731,"7798321151664","postre shimy chocolate x 120 gr","120","gr",0.00
39733,"7798321151688","postre shimy dulce de leche x 120 gr","120","gr",0.00
39735,"7798321151695","postre shimy vainilla x 120 gr","120","gr",0.00
39737,"7798321151701","postre shimy vainilla c dulce leche x 120 gr","120","gr",0.00
39739,"7798321151671","postre shimy chocolate y dulce de leche x 120 gr","120","gr",0.00
39741,"7791337003385","leche silk de almendras x 1 lt","1","lt",0.00
39743,"7790080026719","queso tholem untable queso azul frances x 190 gr","190","gr",0.00
39745,"7790080026702","queso tholem untable jamon de la sierra x 190 gr","190","gr",0.00
39747,"7790080026733","queso tholem light untable clasico x 190 gr","190","gr",0.00
39749,"7798060852822","queso tonadita cremette x 290 gr","290","gr",0.00
39751,"7798060852945","queso tonadita cremette light x 290 gr","290","gr",0.00
39753,"7798060852419","queso untable tonadita patagonia x 200 gr","200","gr",0.00
39755,"7790895003301","agua aquarius manzana x 2250 cm3","2250","cm3",0.00
39757,"7790895640490","agua aquarius pomelo x 1500 cm3","1500","cm3",0.00
39759,"7790895640476","agua aquarius pera x 1500 cm3","1500","cm3",0.00
39761,"7790895640483","agua aquarius manzana x 1500 cm3","1500","cm3",0.00
39763,"7790895003288","agua aquarius pomelo x 2250 cm3","2250","cm3",0.00
39765,"7790580126933","mermelada arcor naranja s azucar agregad x 390 gr","390","gr",0.00
39767,"7790580121310","mermelada arcor frutilla s azucar agrega x 390 gr","390","gr",0.00
39769,"7790580121303","mermelada arcor durazno s azucar agregad x 390 gr","390","gr",0.00
39771,"7790580138745","aceite de maiz arcor x 890 cm3","890","cm3",0.00
39773,"7790580132262","mermelada arcor light naranja fruta x 390 gr","390","gr",0.00
39775,"7790580132231","mermelada arcor light damasco fruta x 390 gr","390","gr",0.00
39777,"7790580132187","mermelada arcor frutillafruta x 454 gr","454","gr",0.00
39779,"500000005321","salchicha tipo viena pelayo al vacio x 500 gr","500","gr",0.00
39781,"250000005321","salchicha tipo viena pelayo al vacio x 250 gr","250","gr",0.00
39783,"999000005033","jamon crudo pelayo serrano x 1 kg","1","kg",0.00
39785,"750000005033","jamon crudo pelayo serrano x 750 gr","750","gr",0.00
39787,"500000005033","jamon crudo pelayo serrano x 500 gr","500","gr",0.00
39789,"250000005033","jamon crudo pelayo serrano x 250 gr","250","gr",0.00
39791,"999000005541","jamon cocido sadia x 1 kg","1","kg",0.00
39793,"750000005541","jamon cocido sadia x 750 gr","750","gr",0.00
39795,"500000005541","jamon cocido sadia x 500 gr","500","gr",0.00
39797,"250000005541","jamon cocido sadia x 250 gr","250","gr",0.00
39799,"999000009121","queso sancor cremoso x 1 kg","1","kg",0.00
39801,"750000009121","queso sancor cremoso x 750 gr","750","gr",0.00
39803,"250000005246","jamon cocido grassetto x 250 gr","250","gr",0.00
39805,"999000009181","queso la paulina parmesano en hebras x 1 kg","1","kg",0.00
39807,"750000009181","queso la paulina parmesano en hebras x 750 gr","750","gr",0.00
39809,"500000009181","queso la paulina parmesano en hebras x 500 gr","500","gr",0.00
39811,"250000009181","queso la paulina parmesano en hebras x 250 gr","250","gr",0.00
39813,"999000004549","queso la paulina port salut x 1 kg","1","kg",0.00
39815,"750000004549","queso la paulina port salut x 750 gr","750","gr",0.00
39817,"500000004549","queso la paulina port salut x 500 gr","500","gr",0.00
39819,"250000004549","queso la paulina port salut x 250 gr","250","gr",0.00
39821,"999000009114","lomo de cerdo labroier suizo ahumado x 1 kg","1","kg",0.00
39823,"750000009114","lomo de cerdo labroier suizo ahumado x 750 gr","750","gr",0.00
39825,"500000009114","lomo de cerdo labroier suizo ahumado x 500 gr","500","gr",0.00
39827,"7790538009592","galleta macrobiotica arroz con sal lino x 102 gr","102","gr",0.00
